	SRR403882_first	SRR403883_first	SRR403886_first	SRR403887_first	SRR403888_first	SRR403889_first	SRR403892_first	SRR403893_first
ENSG00000232912.5	0	0	3	1	0	0	0	0
ENSG00000221083.1	0	0	0	0	0	0	0	0
ENSG00000270282.1	0	0	0	0	0	0	0	0
ENSG00000234619.1	41	15	63	16	107	72	133	15
ENSG00000224315.2	15	1	25	4	36	11	23	0
ENSG00000222511.2	0	0	0	0	0	0	0	0
ENSG00000226545.1	4	2	5	0	10	2	7	1
ENSG00000228423.2	0	0	0	0	4	0	0	0
ENSG00000229716.2	20	8	19	11	52	42	31	11
ENSG00000074800.13	36420	14564	32019	15579	23928	36901	23483	26007
ENSG00000274258.1	1	0	1	0	0	0	0	0
ENSG00000236269.1	8	1	9	2	3	1	2	0
ENSG00000230679.1	1	0	1	0	0	1	1	0
ENSG00000201725.1	0	0	0	0	0	0	0	0
ENSG00000238249.2	48	3	49	8	42	15	45	0
ENSG00000232208.2	1	0	0	0	0	0	0	0
ENSG00000232663.2	104	36	127	69	119	67	141	78
ENSG00000131686.14	1	0	1	0	6	0	1	2
ENSG00000265141.2	1	0	4	0	5	0	4	0
ENSG00000197241.3	1	0	0	0	0	0	0	0
ENSG00000142583.17	1	0	1	0	0	0	0	0
ENSG00000252404.1	0	0	0	0	0	0	0	0
ENSG00000180758.11	205	8	86	7	185	16	88	16
ENSG00000228526.6	9	0	4	0	6	0	13	0
ENSG00000284357.1	0	0	0	0	0	0	0	0
ENSG00000234546.3	0	0	1	0	0	0	1	0
ENSG00000281937.1	0	0	0	0	0	0	0	0
ENSG00000049239.12	500	20	606	65	349	45	510	125
ENSG00000171621.13	349	30	288	51	327	71	333	144
ENSG00000284652.1	1	0	0	0	0	0	0	0
ENSG00000284693.1	4	0	4	0	3	0	4	0
ENSG00000252956.1	0	0	0	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	0	0	0	0
ENSG00000171612.6	128	8	59	14	177	35	92	6
ENSG00000231181.1	7	16	11	7	24	30	22	31
ENSG00000188807.12	518	50	245	52	307	132	219	66
ENSG00000171608.15	129	14	108	22	120	32	149	67
ENSG00000179840.5	0	0	0	0	0	0	0	0
ENSG00000233268.3	0	0	0	0	0	0	1	0
ENSG00000231789.2	14	0	6	2	17	7	15	0
ENSG00000171603.16	2213	471	2577	776	1873	1590	2198	2180
ENSG00000271264.1	1	0	0	0	0	0	0	1
ENSG00000280113.2	1	0	0	0	0	0	0	0
ENSG00000178585.14	619	45	519	101	471	155	458	98
ENSG00000223989.1	0	0	0	0	0	0	0	0
ENSG00000162441.11	528	149	434	191	467	392	354	575
ENSG00000228150.1	0	0	0	2	1	3	0	0
ENSG00000173614.13	123	37	131	60	151	108	131	112
ENSG00000202415.1	33	0	28	0	49	5	59	0
ENSG00000283611.1	0	0	0	0	0	0	0	0
ENSG00000265521.1	0	0	0	0	0	0	0	0
ENSG00000241326.1	0	0	0	0	0	0	0	0
ENSG00000162444.11	24	9	23	12	63	66	78	20
ENSG00000130939.18	667	161	600	169	687	435	517	474
ENSG00000224340.1	0	0	0	0	0	3	1	0
ENSG00000233623.2	1	0	2	0	0	0	2	0
ENSG00000201746.1	0	0	1	0	0	0	0	0
ENSG00000054523.17	1163	240	958	260	1197	678	841	837
ENSG00000264881.1	0	0	0	0	0	0	0	0
ENSG00000199562.1	0	0	0	0	0	0	0	0
ENSG00000264501.2	0	0	0	0	0	0	0	0
ENSG00000284735.1	0	0	0	0	0	0	0	0
ENSG00000284642.1	4	0	4	0	0	0	3	0
ENSG00000142657.20	1528	471	1530	453	1468	1847	1709	1268
ENSG00000271989.1	1	0	4	0	0	0	1	0
ENSG00000251503.8	2	0	0	0	1	0	1	0
ENSG00000175279.21	111	0	82	9	117	1	96	0
ENSG00000241563.3	2	0	0	0	1	0	1	0
ENSG00000160049.11	1084	104	897	182	1386	313	1111	370
ENSG00000203469.2	1	0	2	0	1	0	3	0
ENSG00000142655.12	343	49	260	75	249	133	277	152
ENSG00000243267.3	1	0	1	0	0	0	2	0
ENSG00000130940.14	24	3	40	4	27	16	37	23
ENSG00000272078.1	0	0	0	0	0	0	0	0
ENSG00000225158.2	0	0	0	0	0	1	1	2
ENSG00000175262.14	0	0	0	0	0	0	0	0
ENSG00000215785.2	3	4	6	7	0	4	4	13
ENSG00000120948.16	923	43	645	92	873	203	492	199
ENSG00000277726.4	0	0	0	0	0	0	0	0
ENSG00000009724.16	3	0	3	0	0	0	2	0
ENSG00000271895.2	20	0	7	2	16	0	11	0
ENSG00000116649.9	2167	190	1411	330	1915	864	1830	730
ENSG00000171824.13	958	237	967	283	1065	1136	1085	1137
ENSG00000226849.1	2	0	3	0	2	0	2	0
ENSG00000230337.1	3	1	4	0	0	7	5	0
ENSG00000198793.12	971	174	1047	217	1148	693	1064	647
ENSG00000225602.5	1	0	0	0	0	0	0	0
ENSG00000253086.1	1	0	0	0	0	0	0	0
ENSG00000171819.4	0	0	0	0	0	0	1	0
ENSG00000207451.1	0	1	0	1	0	0	0	0
ENSG00000238173.1	4	0	3	0	4	0	0	0
ENSG00000120942.13	586	64	372	82	426	217	335	133
ENSG00000238199.1	2	0	1	1	1	0	2	0
ENSG00000284646.1	0	0	0	0	0	0	0	0
ENSG00000224338.2	0	0	0	0	0	0	0	0
ENSG00000204624.7	8	0	11	3	1	1	3	2
ENSG00000235643.1	0	0	0	1	1	0	0	0
ENSG00000284708.1	0	0	0	0	0	0	0	0
ENSG00000116661.10	159	18	145	29	118	66	168	56
ENSG00000132879.13	196	17	166	39	128	61	175	25
ENSG00000116663.10	133	19	147	27	132	54	128	69
ENSG00000116670.14	590	76	507	121	532	244	637	295
ENSG00000162490.6	0	0	1	0	0	0	1	0
ENSG00000177674.15	330	65	340	79	227	176	341	177
ENSG00000215910.7	0	0	0	0	0	0	0	0
ENSG00000177553.6	0	0	0	0	0	0	0	0
ENSG00000177000.11	139	7	193	19	79	18	177	29
ENSG00000011021.21	176	11	239	21	177	29	269	132
